time,V(in),V(out),I(V1)
0,5,5e-11,-0.005
1e-05,5,0.04950495054,-0.004950495049
2e-05,5,0.09851975301,-0.004901480247
3e-05,5,0.1470492604,-0.00485295074
4e-05,5,0.1950982776,-0.004804901722
5e-05,5,0.242671562,-0.004757328438
6e-05,5,0.2897738238,-0.004710226176
7e-05,5,0.3364097265,-0.004663590273
8e-05,5,0.3825838876,-0.004617416112
9e-05,5,0.4283008788,-0.004571699121
0.0001,5,0.4735652266,-0.004526434773
0.00011,5,0.5183814125,-0.004481618588
0.00012,5,0.5627538737,-0.004437246126
0.00013,5,0.6066870037,-0.004393312996
0.00014,5,0.6501851522,-0.004349814848
0.00015,5,0.6932526259,-0.004306747374
0.00016,5,0.735893689,-0.004264106311
0.00017,5,0.7781125634,-0.004221887437
0.00018,5,0.8199134291,-0.004180086571
0.00019,5,0.8613004248,-0.004138699575
0.0002,5,0.9022776484,-0.004097722352
0.00021,5,0.9428491568,-0.004057150843
0.00022,5,0.9830189671,-0.004016981033
0.00023,5,1.022791057,-0.003977208943
0.00024,5,1.062169363,-0.003937830637
0.00025,5,1.101157785,-0.003898842215
0.00026,5,1.139760183,-0.003860239817
0.00027,5,1.177980379,-0.003822019621
0.00028,5,1.215822158,-0.003784177842
0.00029,5,1.253289265,-0.003746710735
0.0003,5,1.290385411,-0.003709614589
0.00031,5,1.327114268,-0.003672885732
0.00032,5,1.363479474,-0.003636520526
0.00033,5,1.399484627,-0.003600515373
0.00034,5,1.435133294,-0.003564866706
0.00035,5,1.470429004,-0.003529570996
0.00036,5,1.505375252,-0.003494624748
0.00037,5,1.539975497,-0.003460024503
0.00038,5,1.574233165,-0.003425766835
0.00039,5,1.608151649,-0.003391848351
0.0004,5,1.641734306,-0.003358265694
0.00041,5,1.674984461,-0.003325015539
0.00042,5,1.707905407,-0.003292094593
0.00043,5,1.740500403,-0.003259499597
0.00044,5,1.772772676,-0.003227227324
0.00045,5,1.804725422,-0.003195274578
0.00046,5,1.836361804,-0.003163638196
0.00047,5,1.867684954,-0.003132315046
0.00048,5,1.898697975,-0.003101302025
0.00049,5,1.929403935,-0.003070596065
0.0005,5,1.959805877,-0.003040194123
0.00051,5,1.989906809,-0.003010093191
0.00052,5,2.019709711,-0.002980290289
0.00053,5,2.049217536,-0.002950782464
0.00054,5,2.078433204,-0.002921566796
0.00055,5,2.107359608,-0.002892640392
0.00056,5,2.135999612,-0.002864000388
0.00057,5,2.164356051,-0.002835643949
0.00058,5,2.192431734,-0.002807568266
0.00059,5,2.22022944,-0.00277977056
0.0006,5,2.24775192,-0.00275224808
0.00061,5,2.275001901,-0.002724998099
0.00062,5,2.301982081,-0.002698017919
0.00063,5,2.328695129,-0.002671304871
0.00064,5,2.355143692,-0.002644856308
0.00065,5,2.381330388,-0.002618669612
0.00066,5,2.40725781,-0.00259274219
0.00067,5,2.432928525,-0.002567071475
0.00068,5,2.458345074,-0.002541654926
0.00069,5,2.483509975,-0.002516490025
0.0007,5,2.508425717,-0.002491574283
0.00071,5,2.53309477,-0.00246690523
0.00072,5,2.557519574,-0.002442480426
0.00073,5,2.581702548,-0.002418297452
0.00074,5,2.605646088,-0.002394353912
0.00075,5,2.629352562,-0.002370647438
0.00076,5,2.652824319,-0.002347175681
0.00077,5,2.676063682,-0.002323936318
0.00078,5,2.699072952,-0.002300927048
0.00079,5,2.721854408,-0.002278145592
0.0008,5,2.744410305,-0.002255589695
0.00081,5,2.766742877,-0.002233257123
0.00082,5,2.788854333,-0.002211145667
0.00083,5,2.810746865,-0.002189253135
0.00084,5,2.832422638,-0.002167577362
0.00085,5,2.8538838,-0.0021461162
0.00086,5,2.875132475,-0.002124867525
0.00087,5,2.896170768,-0.002103829232
0.00088,5,2.91700076,-0.00208299924
0.00089,5,2.937624515,-0.002062375485
0.0009,5,2.958044074,-0.002041955926
0.00091,5,2.97826146,-0.00202173854
0.00092,5,2.998278673,-0.002001721327
0.00093,5,3.018097696,-0.001981902304
0.00094,5,3.037720491,-0.001962279509
0.00095,5,3.057149001,-0.001942850999
0.00096,5,3.07638515,-0.00192361485
0.00097,5,3.095430841,-0.001904569159
0.00098,5,3.114287962,-0.001885712038
0.00099,5,3.132958378,-0.001867041622
0.001,5,3.151443938,-0.001848556062
0.00101,5,3.169746474,-0.001830253526
0.00102,5,3.187867796,-0.001812132204
0.00103,5,3.205809699,-0.001794190301
0.00104,5,3.223573959,-0.001776426041
0.00105,5,3.241162336,-0.001758837664
0.00106,5,3.25857657,-0.00174142343
0.00107,5,3.275818386,-0.001724181614
0.00108,5,3.292889491,-0.001707110509
0.00109,5,3.309791576,-0.001690208424
0.0011,5,3.326526312,-0.001673473688
0.00111,5,3.343095359,-0.001656904641
0.00112,5,3.359500355,-0.001640499645
0.00113,5,3.375742926,-0.001624257074
0.00114,5,3.391824679,-0.001608175321
0.00115,5,3.407747207,-0.001592252793
0.00116,5,3.423512086,-0.001576487914
0.00117,5,3.439120877,-0.001560879123
0.00118,5,3.454575126,-0.001545424874
0.00119,5,3.469876363,-0.001530123637
0.0012,5,3.485026102,-0.001514973898
0.00121,5,3.500025843,-0.001499974157
0.00122,5,3.514877072,-0.001485122928
0.00123,5,3.52958126,-0.00147041874
0.00124,5,3.544139861,-0.001455860139
0.00125,5,3.558554318,-0.001441445682
0.00126,5,3.572826057,-0.001427173943
0.00127,5,3.586956493,-0.001413043507
0.00128,5,3.600947022,-0.001399052978
0.00129,5,3.614799032,-0.001385200968
0.0013,5,3.628513893,-0.001371486107
0.00131,5,3.642092963,-0.001357907037
0.00132,5,3.655537588,-0.001344462412
0.00133,5,3.668849097,-0.001331150903
0.00134,5,3.682028809,-0.001317971191
0.00135,5,3.695078028,-0.001304921972
0.00136,5,3.707998048,-0.001292001952
0.00137,5,3.720790146,-0.001279209854
0.00138,5,3.73345559,-0.00126654441
0.00139,5,3.745995634,-0.001254004366
0.0014,5,3.758411519,-0.001241588481
0.00141,5,3.770704474,-0.001229295526
0.00142,5,3.782875717,-0.001217124283
0.00143,5,3.794926452,-0.001205073548
0.00144,5,3.806857874,-0.001193142126
0.00145,5,3.818671162,-0.001181328838
0.00146,5,3.830367487,-0.001169632513
0.00147,5,3.841948007,-0.001158051993
0.00148,5,3.853413868,-0.001146586132
0.00149,5,3.864766206,-0.001135233794
0.0015,5,3.876006145,-0.001123993855
0.00151,5,3.887134797,-0.001112865203
0.00152,5,3.898153264,-0.001101846736
0.00153,5,3.909062638,-0.001090937362
0.00154,5,3.919863998,-0.001080136002
0.00155,5,3.930558414,-0.001069441586
0.00156,5,3.941146944,-0.001058853056
0.00157,5,3.951630638,-0.001048369362
0.00158,5,3.962010533,-0.001037989467
0.00159,5,3.972287656,-0.001027712344
0.0016,5,3.982463026,-0.001017536974
0.00161,5,3.992537649,-0.001007462351
0.00162,5,4.002512524,-0.0009974874759
0.00163,5,4.012388638,-0.0009876113623
0.00164,5,4.022166968,-0.000977833032
0.00165,5,4.031848483,-0.0009681515168
0.00166,5,4.041434142,-0.0009585658582
0.00167,5,4.050924893,-0.0009490751071
0.00168,5,4.060321676,-0.0009396783239
0.00169,5,4.069625422,-0.0009303745781
0.0017,5,4.078837051,-0.0009211629486
0.00171,5,4.087957477,-0.0009120425234
0.00172,5,4.096987601,-0.0009030123994
0.00173,5,4.105928317,-0.0008940716826
0.00174,5,4.114780512,-0.0008852194877
0.00175,5,4.123545062,-0.0008764549383
0.00176,5,4.132222833,-0.0008677771666
0.00177,5,4.140814686,-0.0008591853135
0.00178,5,4.149321472,-0.0008506785282
0.00179,5,4.157744031,-0.0008422559685
0.0018,5,4.166083199,-0.0008339168005
0.00181,5,4.174339801,-0.0008256601986
0.00182,5,4.182514655,-0.0008174853451
0.00183,5,4.190608569,-0.0008093914308
0.00184,5,4.198622346,-0.0008013776543
0.00185,5,4.206556778,-0.000793443222
0.00186,5,4.214412651,-0.0007855873485
0.00187,5,4.222190744,-0.000777809256
0.00188,5,4.229891826,-0.0007701081742
0.00189,5,4.237516659,-0.0007624833408
0.0019,5,4.245065999,-0.0007549340008
0.00191,5,4.252540593,-0.0007474594068
0.00192,5,4.259941181,-0.0007400588186
0.00193,5,4.267268496,-0.0007327315035
0.00194,5,4.274523264,-0.0007254767362
0.00195,5,4.281706202,-0.0007182937982
0.00196,5,4.288818022,-0.0007111819784
0.00197,5,4.295859427,-0.0007041405727
0.00198,5,4.302831116,-0.0006971688838
0.00199,5,4.309733778,-0.0006902662216
0.002,5,4.316568097,-0.0006834319026
0.00201,5,4.32333475,-0.0006766652501
0.00202,5,4.330034406,-0.0006699655942
0.00203,5,4.336667729,-0.0006633322714
0.00204,5,4.343235375,-0.0006567646252
0.00205,5,4.349737995,-0.0006502620051
0.00206,5,4.356176233,-0.0006438237675
0.00207,5,4.362550725,-0.0006374492747
0.00208,5,4.368862104,-0.0006311378958
0.00209,5,4.375110994,-0.0006248890057
0.0021,5,4.381298014,-0.0006187019858
0.00211,5,4.387423776,-0.0006125762236
0.00212,5,4.393488888,-0.0006065111125
0.00213,5,4.399493948,-0.000600506052
0.00214,5,4.405439553,-0.0005945604475
0.00215,5,4.41132629,-0.0005886737104
0.00216,5,4.417154742,-0.0005828452578
0.00217,5,4.422925487,-0.0005770745127
0.00218,5,4.428639096,-0.0005713609036
0.00219,5,4.434296135,-0.000565703865
0.0022,5,4.439897163,-0.0005601028366
0.00221,5,4.445442736,-0.000554557264
0.00222,5,4.450933402,-0.000549066598
0.00223,5,4.456369705,-0.0005436302951
0.00224,5,4.461752183,-0.0005382478169
0.00225,5,4.467081369,-0.0005329186306
0.00226,5,4.472357792,-0.0005276422085
0.00227,5,4.477581972,-0.0005224180282
0.00228,5,4.482754428,-0.0005172455725
0.00229,5,4.487875671,-0.0005121243292
0.0023,5,4.492946209,-0.0005070537913
0.00231,5,4.497966543,-0.0005020334567
0.00232,5,4.502937172,-0.0004970628284
0.00233,5,4.507858586,-0.0004921414143
0.00234,5,4.512731273,-0.000487268727
0.00235,5,4.517555716,-0.0004824442842
0.00236,5,4.522332392,-0.0004776676081
0.00237,5,4.527061774,-0.0004729382258
0.00238,5,4.531744331,-0.0004682556692
0.00239,5,4.536380526,-0.0004636194744
0.0024,5,4.540970817,-0.0004590291826
0.00241,5,4.545515661,-0.0004544843392
0.00242,5,4.550015506,-0.0004499844942
0.00243,5,4.554470798,-0.0004455292022
0.00244,5,4.558881978,-0.000441118022
0.00245,5,4.563249483,-0.0004367505168
0.00246,5,4.567573746,-0.0004324262543
0.00247,5,4.571855194,-0.0004281448062
0.00248,5,4.576094251,-0.0004239057487
0.00249,5,4.580291338,-0.0004197086621
0.0025,5,4.584446869,-0.0004155531308
0.00251,5,4.588561257,-0.0004114387434
0.00252,5,4.592634908,-0.0004073650925
0.00253,5,4.596668225,-0.0004033317747
0.00254,5,4.600661609,-0.0003993383908
