time,V(in),V(a),V(out),I(V1)
0,5,5,2e-21,-1.000005634e-12
2e-06,5,4.950514648,0.001979414095,-0.0009897070477
4e-06,5,4.901558236,0.005917084651,-0.001968835278
6e-06,5,4.853144702,0.01179129657,-0.002937105959
8e-06,5,4.805287624,0.01957979162,-0.003894247526
1e-05,5,4.758000219,0.02925978285,-0.004839995613
1.2e-05,5,4.711295346,0.04080796902,-0.005774093088
1.4e-05,5,4.665185496,0.05420054918,-0.006696290078
1.6e-05,5,4.6196828,0.06941323716,-0.00760634399
1.8e-05,5,4.574799023,0.08642127624,-0.00850401954
2e-05,5,4.530545562,0.1051994538,-0.009389088761
2.2e-05,5,4.486933449,0.1257221158,-0.01026133103
2.4e-05,5,4.443973347,0.1479631819,-0.01112053306
2.6e-05,5,4.401675553,0.1718961598,-0.01196648894
2.8e-05,5,4.360049995,0.19749416,-0.01279900011
3e-05,5,4.319106231,0.2247299108,-0.01361787537
3.2e-05,5,4.278853455,0.2535757726,-0.01442293091
3.4e-05,5,4.239300487,0.2840037531,-0.01521399025
3.6e-05,5,4.200455785,0.3159855217,-0.01599088431
3.8e-05,5,4.162327435,0.3494924243,-0.01675345131
4e-05,5,4.124923158,0.384495498,-0.01750153684
4.2e-05,5,4.08825031,0.4209654856,-0.01823499381
4.4e-05,5,4.052315879,0.4588728504,-0.01895368241
4.6e-05,5,4.017126492,0.4981877907,-0.01965747015
4.8e-05,5,3.982688411,0.5388802543,-0.02034623178
5e-05,5,3.949007535,0.5809199529,-0.0210198493
5.2e-05,5,3.916089405,0.6242763767,-0.0216782119
5.4e-05,5,3.883939201,0.6689188087,-0.02232121598
5.6e-05,5,3.852561747,0.7148163388,-0.02294876506
5.8e-05,5,3.82196151,0.7619378784,-0.02356076979
6e-05,5,3.792142606,0.8102521741,-0.02415714788
6.2e-05,5,3.763108796,0.8597278223,-0.02473782407
6.4e-05,5,3.734863494,0.9103332825,-0.02530273011
6.6e-05,5,3.707409766,0.9620368919,-0.02585180469
6.8e-05,5,3.680750331,1.014806879,-0.02638499338
7e-05,5,3.654887569,1.068611376,-0.02690224862
7.2e-05,5,3.629823518,1.123418435,-0.02740352964
7.4e-05,5,3.60555988,1.17919604,-0.0278888024
7.6e-05,5,3.582098021,1.235912119,-0.02835803958
7.8e-05,5,3.559438977,1.29353456,-0.02881122047
8e-05,5,3.537583454,1.352031222,-0.02924833091
8.2e-05,5,3.516531835,1.411369948,-0.02966936329
8.4e-05,5,3.496284179,1.471518581,-0.03007431641
8.6e-05,5,3.476840227,1.532444972,-0.03046319546
8.8e-05,5,3.458199403,1.594116996,-0.03083601194
9e-05,5,3.44036082,1.656502563,-0.03119278359
9.2e-05,5,3.423323284,1.719569632,-0.03153353432
9.4e-05,5,3.407085293,1.78328622,-0.03185829414
9.6e-05,5,3.391645047,1.847620418,-0.03216709906
9.8e-05,5,3.377000446,1.9125404,-0.03245999107
0.0001,5,3.3631491,1.978014437,-0.03273701801
0.000102,5,3.350088325,2.044010903,-0.03299823349
0.000104,5,3.337815157,2.110498297,-0.03324369686
0.000106,5,3.326326346,2.177445243,-0.03347347308
0.000108,5,3.315618367,2.244820509,-0.03368763265
