time,V(in),V(a),V(out),I(V1)
0,5,4.999999998,1.999999999e-21,-9.99999996e-13
2e-06,5,3.571836617,0.001428163383,-0.0007140816917
4e-06,5,2.552419225,0.003875744159,-0.001223790388
6e-06,5,1.825171038,0.00705057312,-0.001587414481
8e-06,5,1.306763259,0.01074380986,-0.001846618371
1e-05,5,0.9376326641,0.0148061772,-0.002031183668
1.2e-05,5,0.6752036097,0.01913097359,-0.002162398195
1.4e-05,5,0.4890431299,0.02364193046,-0.002255478435
1.6e-05,5,0.3573978164,0.02828453264,-0.002321301092
1.8e-05,5,0.2647183872,0.03301981425,-0.002367640806
2e-05,5,0.1998902549,0.037819924,-0.002400054873
2.2e-05,5,0.1549687407,0.04266495526,-0.00242251563
2.4e-05,5,0.1242750091,0.04754068025,-0.002437862495
2.6e-05,5,0.1037498438,0.05243693041,-0.002448125078
2.8e-05,5,0.09049172804,0.05734643868,-0.002454754136
3e-05,5,0.08242666632,0.06226401201,-0.002458786667
3.2e-05,5,0.07807217304,0.06718593984,-0.002460963913
3.4e-05,5,0.07636857253,0.07210957127,-0.002461815714
3.6e-05,5,0.07655841262,0.07703301285,-0.002461720794
3.8e-05,5,0.07810026975,0.08195491258,-0.002460949865
4e-05,5,0.0806071371,0.08687430545,-0.002459696431
4.2e-05,5,0.08380238451,0.09179050306,-0.002458098808
4.4e-05,5,0.08748827888,0.09670301478,-0.002456255861
4.6e-05,5,0.09152348243,0.1016114913,-0.002454238259
4.8e-05,5,0.09580696869,0.1065156843,-0.002452096516
5e-05,5,0.1002665256,0.1114154178,-0.002449866737
5.2e-05,5,0.1048505375,0.1163105673,-0.002447574731
5.4e-05,5,0.1095221111,0.1212010452,-0.002445238944
5.6e-05,5,0.1142548766,0.1260867903,-0.002442872562
5.8e-05,5,0.1190299862,0.1309677603,-0.002440485007
6e-05,5,0.1238339691,0.1358439263,-0.002438083015
6.2e-05,5,0.1286571977,0.1407152691,-0.002435671401
6.4e-05,5,0.1334927916,0.1455817763,-0.002433253604
6.6e-05,5,0.1383358341,0.1504434405,-0.002430832083
6.8e-05,5,0.1431828123,0.1553002577,-0.002428408594
7e-05,5,0.1480312163,0.1601522265,-0.002425984392
7.2e-05,5,0.1528792537,0.1649993472,-0.002423560373
7.4e-05,5,0.1577256445,0.1698416216,-0.002421137178
7.6e-05,5,0.1625694753,0.1746790521,-0.002418715262
7.8e-05,5,0.1674100943,0.179511642,-0.002416294953
8e-05,5,0.1722470374,0.184339395,-0.002413876481
8.2e-05,5,0.1770799738,0.189162315,-0.002411460013
8.4e-05,5,0.1819086688,0.1939804063,-0.002409045666
8.6e-05,5,0.1867329558,0.1987936734,-0.002406633522
8.8e-05,5,0.1915527172,0.2036021207,-0.002404223641
9e-05,5,0.1963678702,0.2084057528,-0.002401816065
9.2e-05,5,0.2011783571,0.2132045744,-0.002399410821
9.4e-05,5,0.205984138,0.2179985903,-0.002397007931
9.6e-05,5,0.2107851858,0.2227878051,-0.002394607407
9.8e-05,5,0.2155814823,0.2275722236,-0.002392209259
0.0001,5,0.2203730161,0.2323518506,-0.002389813492
0.000102,5,0.2251597803,0.2371266908,-0.00238742011
0.000104,5,0.2299417714,0.2418967491,-0.002385029114
0.000106,5,0.2347189881,0.2466620301,-0.002382640506
0.000108,5,0.2394914311,0.2514225386,-0.002380254284
0.00011,5,0.2442591021,0.2561782795,-0.002377870449
0.000112,5,0.2490220037,0.2609292575,-0.002375488998
0.000114,5,0.253780139,0.2656754774,-0.00237310993
0.000116,5,0.2585335118,0.2704169439,-0.002370733244
0.000118,5,0.2632821261,0.2751536617,-0.002368358937
0.00012,5,0.268025986,0.2798856358,-0.002365987007
0.000122,5,0.2727650959,0.2846128707,-0.002363617452
0.000124,5,0.2774994603,0.2893353712,-0.00236125027
0.000126,5,0.2822290837,0.2940531421,-0.002358885458
0.000128,5,0.2869539707,0.2987661882,-0.002356523015
0.00013,5,0.2916741259,0.303474514,-0.002354162937
0.000132,5,0.2963895541,0.3081781245,-0.002351805223
0.000134,5,0.3011002598,0.3128770242,-0.00234944987
0.000136,5,0.3058062479,0.317571218,-0.002347096876
0.000138,5,0.3105075229,0.3222607104,-0.002344746239
0.00014,5,0.3152040896,0.3269455064,-0.002342397955
0.000142,5,0.3198959527,0.3316256104,-0.002340052024
0.000144,5,0.3245831169,0.3363010273,-0.002337708442
0.000146,5,0.3292655868,0.3409717617,-0.002335367207
