time,V(in),V(out),I(V1)
0,0,0,0
2e-05,0,0,0
4e-05,0,0,0
6e-05,0,0,0
8e-05,0,0,0
0.0001,0,0,0
0.00012,0,0,0
0.00014,0,0,0
0.00016,0,0,0
0.00018,0,0,0
0.0002,0,0,0
0.00022,0,0,0
0.00024,0,0,0
0.00026,0,0,0
0.00028,0,0,0
0.0003,0,0,0
0.00032,0,0,0
0.00034,0,0,0
0.00036,0,0,0
0.00038,0,0,0
0.0004,0,0,0
0.00042,0,0,0
0.00044,0,0,0
0.00046,0,0,0
0.00048,0,0,0
0.0005,0,0,0
0.00052,0,0,0
0.00054,0,0,0
0.00056,0,0,0
0.00058,0,0,0
0.0006,0,0,0
0.00062,0,0,0
0.00064,0,0,0
0.00066,0,0,0
0.00068,0,0,0
0.0007,0,0,0
0.00072,0,0,0
0.00074,0,0,0
0.00076,0,0,0
0.00078,0,0,0
0.0008,0,0,0
0.00082,0,0,0
0.00084,0,0,0
0.00086,0,0,0
0.00088,0,0,0
0.0009,0,0,0
0.00092,0,0,0
0.00094,0,0,0
0.00096,0,0,0
0.00098,0,0,0
0.001,6.505213035e-14,1.275531968e-15,-6.377659838e-17
0.00102,1,0.01960784314,-0.0009803921569
0.00104,2,0.0584390619,-0.001941560938
0.00106,3,0.1161167274,-0.002883883273
0.00108,4,0.1922713013,-0.003807728699
0.0011,5,0.2865404915,-0.004713459509
0.00112,5,0.3789612662,-0.004621038734
0.00114,5,0.4695698688,-0.004530430131
0.00116,5,0.5584018322,-0.004441598168
0.00118,5,0.6454919923,-0.004354508008
0.0012,5,0.7308745023,-0.004269125498
0.00122,5,0.8145828454,-0.004185417155
0.00124,5,0.8966498484,-0.004103350152
0.00126,5,0.9771076945,-0.004022892306
0.00128,5,1.055987936,-0.003944012064
0.0013,5,1.133321506,-0.003866678494
0.00132,5,1.209138731,-0.003790861269
0.00134,5,1.283469344,-0.003716530656
0.00136,5,1.356342494,-0.003643657506
0.00138,5,1.427786759,-0.003572213241
0.0014,5,1.497830156,-0.003502169844
0.00142,5,1.566500153,-0.003433499847
0.00144,5,1.633823679,-0.003366176321
0.00146,5,1.699827137,-0.003300172863
0.00148,5,1.764536408,-0.003235463592
0.0015,5,1.827976871,-0.003172023129
0.00152,5,1.890173403,-0.003109826597
0.00154,5,1.951150395,-0.003048849605
0.00156,5,2.01093176,-0.00298906824
0.00158,5,2.069540941,-0.002930459059
0.0016,5,2.127000923,-0.002872999077
0.00162,5,2.183334238,-0.002816665762
0.00164,5,2.238562978,-0.002761437022
0.00166,5,2.292708802,-0.002707291198
0.00168,5,2.345792943,-0.002654207057
0.0017,5,2.397836219,-0.002602163781
0.00172,5,2.448859038,-0.002551140962
0.00174,5,2.49888141,-0.00250111859
0.00176,5,2.547922951,-0.002452077049
0.00178,5,2.596002893,-0.002403997107
0.0018,5,2.643140091,-0.002356859909
0.00182,5,2.689353031,-0.002310646969
0.00184,5,2.734659834,-0.002265340166
0.00186,5,2.779078269,-0.002220921731
0.00188,5,2.822625754,-0.002177374246
0.0019,5,2.865319366,-0.002134680634
0.00192,5,2.907175849,-0.002092824151
0.00194,5,2.948211617,-0.002051788383
0.00196,5,2.988442762,-0.002011557238
0.00198,5,3.02788506,-0.00197211494
0.002,5,3.066553981,-0.001933446019
0.00202,5,3.104464687,-0.001895535313
0.00204,5,3.141632046,-0.001858367954
0.00206,5,3.178070634,-0.001821929366
0.00208,5,3.213794739,-0.001786205261
0.0021,5,3.248818371,-0.001751181629
0.00212,5,3.283155266,-0.001716844734
0.00214,5,3.316818888,-0.001683181112
0.00216,5,3.349822439,-0.001650177561
0.00218,5,3.382178862,-0.001617821138
0.0022,5,3.413900845,-0.001586099155
0.00222,5,3.445000829,-0.001554999171
0.00224,5,3.475491009,-0.001524508991
0.00226,5,3.505383342,-0.001494616658
0.00228,5,3.534689551,-0.001465310449
0.0023,5,3.563421128,-0.001436578872
0.00232,5,3.591589341,-0.001408410659
0.00234,5,3.619205237,-0.001380794763
0.00236,5,3.646279644,-0.001353720356
0.00238,5,3.67282318,-0.00132717682
0.0024,5,3.698846255,-0.001301153745
0.00242,5,3.724359074,-0.001275640926
0.00244,5,3.749371641,-0.001250628359
0.00246,5,3.773893765,-0.001226106235
0.00248,5,3.797935064,-0.001202064936
0.0025,5,3.821504965,-0.001178495035
0.00252,5,3.844612711,-0.001155387289
0.00254,5,3.867267363,-0.001132732637
0.00256,5,3.889477807,-0.001110522193
0.00258,5,3.911252752,-0.001088747248
0.0026,5,3.932600737,-0.001067399263
0.00262,5,3.953530135,-0.001046469865
0.00264,5,3.974049152,-0.001025950848
0.00266,5,3.994165835,-0.001005834165
0.00268,5,4.013888074,-0.0009861119265
0.0027,5,4.033223601,-0.0009667763985
0.00272,5,4.052180001,-0.0009478199985
0.00274,5,4.070764707,-0.0009292352927
0.00276,5,4.088985007,-0.0009110149928
0.00278,5,4.106848046,-0.0008931519538
0.0028,5,4.12436083,-0.0008756391704
0.00282,5,4.141530225,-0.0008584697749
0.00284,5,4.158362966,-0.0008416370342
0.00286,5,4.174865653,-0.0008251343472
0.00288,5,4.191044758,-0.0008089552424
0.0029,5,4.206906625,-0.0007930933749
0.00292,5,4.222457476,-0.0007775425244
0.00294,5,4.237703407,-0.0007622965925
0.00296,5,4.252650399,-0.0007473496005
0.00298,5,4.267304313,-0.0007326956868
0.003,5,4.281670895,-0.0007183291047
0.00302,5,4.29575578,-0.0007042442203
0.00304,5,4.30956449,-0.0006904355101
0.00306,5,4.323102441,-0.0006768975589
0.00308,5,4.336374942,-0.0006636250578
0.0031,5,4.349387198,-0.0006506128017
0.00312,4,4.342536469,0.0003425364689
0.00314,3,4.316212224,0.001316212224
0.00316,2,4.270796298,0.002270796298
0.00318,1,4.206663038,0.003206663038
0.0032,0,4.124179449,0.004124179449
0.00322,0,4.043313185,0.004043313185
0.00324,0,3.964032534,0.003964032534
0.00326,0,3.886306406,0.003886306406
0.00328,0,3.81010432,0.00381010432
0.0033,0,3.735396392,0.003735396392
0.00332,0,3.662153325,0.003662153325
0.00334,0,3.590346398,0.003590346398
0.00336,0,3.519947449,0.003519947449
0.00338,0,3.450928871,0.003450928871
0.0034,0,3.383263599,0.003383263599
0.00342,0,3.316925097,0.003316925097
0.00344,0,3.25188735,0.00325188735
0.00346,0,3.188124853,0.003188124853
0.00348,0,3.125612601,0.003125612601
0.0035,0,3.06432608,0.00306432608
0.00352,0,3.004241254,0.003004241254
0.00354,0,2.945334563,0.002945334563
0.00356,0,2.887582905,0.002887582905
0.00358,0,2.830963632,0.002830963632
0.0036,0,2.775454542,0.002775454542
0.00362,0,2.721033864,0.002721033864
0.00364,0,2.667680259,0.002667680259
0.00366,0,2.615372803,0.002615372803
0.00368,0,2.564090983,0.002564090983
0.0037,0,2.51381469,0.00251381469
0.00372,0,2.464524205,0.002464524205
0.00374,0,2.416200201,0.002416200201
0.00376,0,2.368823727,0.002368823727
0.00378,0,2.322376203,0.002322376203
0.0038,0,2.276839415,0.002276839415
0.00382,0,2.232195504,0.002232195504
0.00384,0,2.188426965,0.002188426965
0.00386,0,2.145516633,0.002145516633
0.00388,0,2.103447679,0.002103447679
0.0039,0,2.062203607,0.002062203607
0.00392,0,2.021768242,0.002021768242
0.00394,0,1.982125727,0.001982125727
0.00396,0,1.943260517,0.001943260517
0.00398,0,1.90515737,0.00190515737
0.004,0,1.867801343,0.001867801343
0.00402,0,1.831177787,0.001831177787
0.00404,0,1.79527234,0.00179527234
0.00406,0,1.760070922,0.001760070922
0.00408,0,1.725559727,0.001725559727
0.0041,0,1.691725223,0.001691725223
0.00412,0,1.65855414,0.00165855414
0.00414,0,1.626033471,0.001626033471
0.00416,0,1.594150461,0.001594150461
