time,V(in),V(out),I(V1)
0,1,2e-10,-0.0009999999998
2e-05,1.125581039,0.18759684,-0.000937984199
4e-05,1.250666467,0.3647751112,-0.0008858913559
6e-05,1.374762629,0.5331063642,-0.000841656265
8e-05,1.497379774,0.6938185992,-0.0008035611751
0.0001,1.618033989,0.8478544975,-0.0007701794913
0.00012,1.736249105,0.9959202655,-0.0007403288399
0.00014,1.851558583,1.138526652,-0.0007130319314
0.00016,1.963507348,1.276023434,-0.0006874839137
0.00018,2.07165359,1.40862846,-0.0006630251296
0.0002,2.175570505,1.536452134,-0.0006391183702
0.00022,2.274847979,1.659518109,-0.0006153298709
0.00024,2.369094212,1.777780792,-0.0005913134194
0.00026,2.457937255,1.891140203,-0.000566797052
0.00028,2.541026486,1.999454583,-0.0005415719022
0.0003,2.618033989,2.102551151,-0.0005154828379
0.00032,2.688655851,2.200235268,-0.0004884205834
0.00034,2.75261336,2.292298283,-0.0004603150771
0.00036,2.809654105,2.378524253,-0.0004311298516
0.00038,2.859552972,2.458695706,-0.0004008572654
0.0004,2.902113033,2.532598594,-0.0003695144385
0.00042,2.937166322,2.600026549,-0.0003371397735
0.00044,2.964574501,2.660784541,-0.0003037899606
0.00046,2.984229403,2.714692018,-0.0002695373848
0.00048,2.996053457,2.761585591,-0.0002344678658
0.0005,3,2.801321326,-0.0001986786741
0.00052,2.996053457,2.833776681,-0.0001622767758
0.00054,2.984229403,2.858852135,-0.000125377268
0.00056,2.964574501,2.876472529,-8.810197236e-05
0.00058,2.937166322,2.886588161,-5.057816097e-05
0.0006,2.902113033,2.88917564,-1.293739275e-05
0.00062,2.859552972,2.884238528,2.468555672e-05
0.00064,2.809654105,2.871807791,6.21536863e-05
0.00066,2.75261336,2.851942053,9.932869262e-05
0.00068,2.688655851,2.824727686,0.0001360718348
0.0007,2.618033989,2.790278736,0.0001722447475
0.00072,2.541026486,2.748736694,0.0002077102089
0.00074,2.457937255,2.700270121,0.0002423328664
0.00076,2.369094212,2.645074136,0.0002759799245
0.00078,2.274847979,2.583369777,0.0003085217973
0.0008,2.175570505,2.515403231,0.0003398327269
0.00082,2.07165359,2.441444958,0.0003697913679
0.00084,1.963507348,2.36178869,0.0003982813414
0.00086,1.851558583,2.276750339,0.0004251917554
0.00088,1.736249105,2.1866668,0.0004504176943
0.0009,1.618033989,2.091894665,0.0004738606758
0.00092,1.497379774,1.992808849,0.0004954290752
0.00094,1.374762629,1.889801146,0.0005150385169
0.00096,1.250666467,1.7832787,0.0005326122325
0.00098,1.125581039,1.673662423,0.0005480813838
0.001,1,1.561385352,0.0005613853524
0.00102,0.8744189609,1.446890954,0.0005724719929
0.00104,0.7493335329,1.330631384,0.0005812978508
0.00106,0.6252373708,1.213065715,0.000587828344
0.00108,0.5026202257,1.094658133,0.0005920379076
0.0011,0.3819660113,0.975876113,0.0005939101017
0.00112,0.2637508946,0.8571885766,0.0005934376819
0.00114,0.1484414169,0.73906405,0.0005906226331
0.00116,0.0364926518,0.6219688169,0.0005854761651
0.00118,-0.07165358996,0.5063650825,0.0005780186724
0.0012,-0.1755705046,0.3927091513,0.0005682796559
0.00122,-0.2748479795,0.2814496295,0.000556297609
0.00124,-0.3690942119,0.1730256559,0.0005421198678
0.00126,-0.4579372548,0.0678651708,0.0005258024256
0.00128,-0.5410264856,-0.03361677193,0.0005074097136
0.0013,-0.6180339887,-0.1310196414,0.0004870143474
0.00132,-0.688655851,-0.2239590097,0.0004646968413
0.00134,-0.7526133601,-0.3120680681,0.000440545292
0.00136,-0.8096541049,-0.3949990742,0.0004146550307
0.00138,-0.8595529718,-0.4724247238,0.000387128248
0.0014,-0.9021130326,-0.5440394419,0.0003580735907
0.00142,-0.9371663223,-0.6095605887,0.0003276057336
0.00144,-0.9645745015,-0.6687295741,0.0002958449273
0.00146,-0.9842294026,-0.7213128789,0.0002629165238
0.00148,-0.9960534569,-0.7671029752,0.0002289504817
0.0015,-1,-0.805919146,0.000194080854
0.00152,-0.9960534569,-0.8376081978,0.000158445259
0.00154,-0.9842294026,-0.8620450653,0.0001221843373
0.00156,-0.9645745015,-0.8791333046,8.544119681e-05
0.00158,-0.9371663223,-0.8888054742,4.836084801e-05
0.0016,-0.9021130326,-0.8910234006,1.108963195e-05
0.00162,-0.8595529718,-0.8857783292,-2.622535738e-05
